5679	--	--	--	310	b''	780515	b'B7V*'
18352	0.22	-0.64	--	--	b''	820327	b'B1V'
20863	0.01	-0.15	--	200	b''	880229	b'B9V'
21672	-0.02	-0.32	--	246	b''	870813	b'B8V'
23568	0.02	-0.07	0.02	245	b''	870820	b'B9.5V'
23873	-0.02	-0.12	-0.03	121	b''	861017	b'B9.5V'
23964	0.06	-0.06	0.07	15	b''	861017	b'B9.5Vp*'
25639	0.38	-0.52	--	160	b''	911213	b'B0V'
35008	-0.1	-0.32	--	150	b''	890128	b'B8V'
35079	-0.03	-0.52	-0.06	185	b''	890127	b'B3V'
36151	-0.13	-0.57	-0.12	50	b''	860919	b'B5V'
36824	-0.14	-0.71	-0.16	175	b''	810126	b'B2/3V'
36954	-0.11	-0.64	-0.11	185	b''	860124	b'B3V'
37042	-0.09	-0.93	-0.05	17	b''	790216	b'B1V'
37061	0.26	-0.65	0.3	160	b''	810424	b'B0/1V'
37397	-0.15	-0.74	--	306	b''	871102	b'B2/3V'
37606	-0.07	-0.34	--	230	b''	890129	b'B8V'
70309	-0.14	-0.63	--	--	b''	790615	b'B3V'
72555	-0.14	-0.7	--	175	b''	790617	b'B2.5V'
74234	-0.16	-0.83	--	233	b''	810528	b'B2V'
74319	-0.1	-0.55	--	--	b''	810528	b'B3V'
93033	--	--	--	--	b''	781111	b'B8V+gF2'
94144	-0.01	-0.54	--	35	b''	890515	b'B2V'
129791	0.04	0.0	0.04	--	b''	940328	b'B9.5V'
142315	0.04	-0.21	--	300	b''	890814	b'B8V'
145102	0.07	-0.16	--	58	b''	890813	b'B9VpSi'
147888	0.31	-0.34	--	167	b''	820725	b'B5V'
148199	0.09	-0.2	--	15	b''	790309	b'B9VSi'
157317	-0.06	-0.46	--	205	b''	870501	b'B6V'
162094	--	--	--	170	b''	840716	b'B3V'
183794	0.18	-0.39	--	--	b''	901017	b'B8V'
195965	-0.05	-0.9	--	--	b''	801220	b'B0V'
201254	--	--	--	135	b''	841028	b'B3V'
205601	-0.12	-0.6	--	--	b''	881008	b'B6V'
206280	-0.06	-0.21	--	--	b''	881006	b'B9V'
208392	0.26	-0.56	-0.59	278	b''	820313	b'B0.5V*'
213307	-0.03	-0.35	--	135	b''	880822	b'B7V'
214167	-0.09	-0.85	-0.23	40	b''	890830	b'B2V'
